0.000000 7.949000 7.949000 2.982723 1.002203 -1.#IND00 -1.#IND00 -1.#IND00
1.000000 -1.#IND00 -1.#IND00 3.995621 -1.977575 -1.#IND00 -1.#IND00 -1.#IND00
2.000000 -1.#IND00 -1.#IND00 2.012859 -5.959479 -1.#IND00 -1.#IND00 -1.#IND00
3.000000 -1.#IND00 -1.#IND00 -3.938078 -7.983628 -1.#IND00 -1.#IND00 -1.#IND00
4.000000 -1.#IND00 -1.#IND00 -11.914413 -4.045081 -1.#IND00 -1.#IND00 -1.#IND00
5.000000 -1.#IND00 -1.#IND00 -15.976296 7.855178 -1.#IND00 -1.#IND00 -1.#IND00
6.000000 -1.#IND00 -1.#IND00 -8.133336 23.819900 -1.#IND00 -1.#IND00 -1.#IND00
7.000000 -1.#IND00 -1.#IND00 15.684683 31.940041 -1.#IND00 -1.#IND00 -1.#IND00
8.000000 -1.#IND00 -1.#IND00 47.607712 16.251127 -1.#IND00 -1.#IND00 -1.#IND00
9.000000 -1.#IND00 -1.#IND00 63.861305 -31.353060 -1.#IND00 -1.#IND00 -1.#IND00
10.000000 -1.#IND00 -1.#IND00 32.496683 -95.208718 -1.#IND00 -1.#IND00 -1.#IND00
11.000000 -1.#IND00 -1.#IND00 -62.717157 -127.720745 -1.#IND00 -1.#IND00 -1.#IND00
12.000000 -1.#IND00 -1.#IND00 -190.428088 -64.993106 -1.#IND00 -1.#IND00 -1.#IND00
13.000000 -1.#IND00 -1.#IND00 -255.428054 125.448006 -1.#IND00 -1.#IND00 -1.#IND00
14.000000 -1.#IND00 -1.#IND00 -129.964255 380.890808 -1.#IND00 -1.#IND00 -1.#IND00
15.000000 -1.#IND00 -1.#IND00 250.914163 510.853749 -1.#IND00 -1.#IND00 -1.#IND00
16.000000 -1.#IND00 -1.#IND00 761.780461 259.929527 -1.#IND00 -1.#IND00 -1.#IND00
17.000000 -1.#IND00 -1.#IND00 1021.721892 -501.833724 -1.#IND00 -1.#IND00 -1.#IND00
18.000000 -1.#IND00 -1.#IND00 519.892030 -1523.559342 -1.#IND00 -1.#IND00 -1.#IND00
19.000000 -1.#IND00 -1.#IND00 -1003.674335 -2043.439590 -1.#IND00 -1.#IND00 -1.#IND00
20.000000 -1.#IND00 -1.#IND00 -3047.118225 -1039.779367 -1.#IND00 -1.#IND00 -1.#IND00
21.000000 -1.#IND00 -1.#IND00 -4086.912964 2007.321842 -1.#IND00 -1.#IND00 -1.#IND00
22.000000 -1.#IND00 -1.#IND00 -2079.598886 6094.226939 -1.#IND00 -1.#IND00 -1.#IND00
23.000000 -1.#IND00 -1.#IND00 4014.634676 8173.837520 -1.#IND00 -1.#IND00 -1.#IND00
24.000000 -1.#IND00 -1.#IND00 12188.471675 4159.192638 -1.#IND00 -1.#IND00 -1.#IND00
25.000000 -1.#IND00 -1.#IND00 16347.663220 -8029.280493 -1.#IND00 -1.#IND00 -1.#IND00
26.000000 -1.#IND00 -1.#IND00 8318.391194 -24376.957282 -1.#IND00 -1.#IND00 -1.#IND00
27.000000 -1.#IND00 -1.#IND00 -16058.570064 -32695.340335 -1.#IND00 -1.#IND00 -1.#IND00
28.000000 -1.#IND00 -1.#IND00 -48753.907891 -16636.775075 -1.#IND00 -1.#IND00 -1.#IND00
29.000000 -1.#IND00 -1.#IND00 -65390.692489 32117.130224 -1.#IND00 -1.#IND00 -1.#IND00
30.000000 -1.#IND00 -1.#IND00 -33273.561672 97507.839686 -1.#IND00 -1.#IND00 -1.#IND00
31.000000 -1.#IND00 -1.#IND00 64234.272664 130781.389892 -1.#IND00 -1.#IND00 -1.#IND00
32.000000 -1.#IND00 -1.#IND00 195015.662275 66547.102108 -1.#IND00 -1.#IND00 -1.#IND00
33.000000 -1.#IND00 -1.#IND00 261562.764550 -128468.572379 -1.#IND00 -1.#IND00 -1.#IND00
34.000000 -1.#IND00 -1.#IND00 133094.179755 -390031.322895 -1.#IND00 -1.#IND00 -1.#IND00
35.000000 -1.#IND00 -1.#IND00 -256937.149962 -523125.505194 -1.#IND00 -1.#IND00 -1.#IND00
36.000000 -1.#IND00 -1.#IND00 -780062.638992 -266188.348886 -1.#IND00 -1.#IND00 -1.#IND00
37.000000 -1.#IND00 -1.#IND00 -1046250.974809 513874.301250 -1.#IND00 -1.#IND00 -1.#IND00
38.000000 -1.#IND00 -1.#IND00 -532376.684251 1560125.264901 -1.#IND00 -1.#IND00 -1.#IND00
39.000000 -1.#IND00 -1.#IND00 1027748.579792 2092501.937220 -1.#IND00 -1.#IND00 -1.#IND00
40.000000 -1.#IND00 -1.#IND00 3120250.525050 1064753.354157 -1.#IND00 -1.#IND00 -1.#IND00
41.000000 -1.#IND00 -1.#IND00 4185003.881588 -2055497.164579 -1.#IND00 -1.#IND00 -1.#IND00
42.000000 -1.#IND00 -1.#IND00 2129506.724696 -6240501.047024 -1.#IND00 -1.#IND00 -1.#IND00
43.000000 -1.#IND00 -1.#IND00 -4110994.326906 -8370007.760126 -1.#IND00 -1.#IND00 -1.#IND00
44.000000 -1.#IND00 -1.#IND00 -12481002.086443 -4259013.427574 -1.#IND00 -1.#IND00 -1.#IND00
45.000000 -1.#IND00 -1.#IND00 -16740015.527712 8221988.674435 -1.#IND00 -1.#IND00 -1.#IND00
46.000000 -1.#IND00 -1.#IND00 -8518026.851560 24962004.196812 -1.#IND00 -1.#IND00 -1.#IND00
47.000000 -1.#IND00 -1.#IND00 16443977.340921 33480031.060392 -1.#IND00 -1.#IND00 -1.#IND00
48.000000 -1.#IND00 -1.#IND00 49924008.399792 17036053.711569 -1.#IND00 -1.#IND00 -1.#IND00
49.000000 -1.#IND00 -1.#IND00 66960062.104356 -32887954.679937 -1.#IND00 -1.#IND00 -1.#IND00
